211 elevátor;úszó munkagép;2000;1;Balatoni Hajózási Zrt.;Siófok
254 strandhomokozó;úszó munkagép;2005;1;Balatoni Hajózási Zrt.;Siófok
50-II úszódaru;úszó munkagép;1991;1;Balatoni Hajózási Zrt.;Siófok
Szerhajó;úszó munkagép;1984;1;Balatoni Hajózási Zrt.;Siófok
Beloiannisz;személyhajó;1991;0;Balatoni Hajózási Zrt.;Siófok
Gulács;személyhajó;1986;0;Balatoni Hajózási Zrt.;Siófok
Bakony;személyhajó;1991;0;Balatoni Hajózási Zrt.;Siófok
Szárszó;személyhajó;2003;0;Balatoni Hajózási Zrt.;Siófok
Tihany II;személyhajó;1981;0;Balatoni Hajózási Zrt.;Siófok
Földvár;személyhajó;1987;0;Balatoni Hajózási Zrt.;Siófok
Csopak;személyhajó;2001;0;Balatoni Hajózási Zrt.;Siófok
Dörgicse;személyhajó;2001;0;Balatoni Hajózási Zrt.;Siófok
Szemes;személyhajó;2005;0;Balatoni Hajózási Zrt.;Siófok
Kenese;személyhajó;1987;0;Magyar Honvédség Üdülője;Balatonkenese;
Balaton II.;személyhajó;1999;0;Vízirendőrség;Siófok
